date,open,high,low,close,volume,average,barCount,expiry,dataMonth
2024-02-27 08:10:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 08:15:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 08:20:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 08:25:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 08:30:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 08:35:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 08:40:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 08:45:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 08:50:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 08:55:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 09:00:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 09:05:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 09:10:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 09:15:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 09:20:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 09:25:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 09:30:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 09:35:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 09:40:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 09:45:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 09:50:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 09:55:00-08:00,3.85,3.85,3.85,3.85,0.0,3.85,0,202406,202402
2024-02-27 10:00:00-08:00,3.8665,3.8665,3.8665,3.8665,3.0,3.8665,1,202406,202402
2024-02-27 10:05:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 10:10:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 10:15:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 10:20:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 10:25:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 10:30:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 10:35:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 10:40:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 10:45:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 10:50:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 10:55:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 11:00:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 11:05:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 11:10:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 11:15:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 11:20:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 11:25:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 11:30:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 11:35:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 11:40:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 11:45:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 11:50:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 11:55:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 12:00:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 12:05:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 12:10:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 12:15:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 12:20:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 12:25:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 12:30:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 12:35:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 12:40:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 12:45:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 12:50:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 12:55:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 13:00:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 13:05:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 13:10:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 13:15:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 13:20:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 13:25:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 13:30:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 13:35:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 13:40:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 13:45:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 13:50:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
2024-02-27 13:55:00-08:00,3.8665,3.8665,3.8665,3.8665,0.0,3.8665,0,202406,202402
